day,rep_rate
2022-01-17,61.7
2022-01-24,66.5
2022-01-31,63.1
2022-02-07,61.2
2022-02-14,55.3
2022-02-21,52.4
2022-02-28,51.8
2022-03-07,50.5
2022-03-14,44.6
2022-03-21,42.7
2022-03-28,47.7
2022-04-04,51.0
2022-04-11,50.5
2022-04-18,49.9
2022-04-25,50.4
2022-05-02,55.8
2022-05-09,54.7
2022-05-16,50.6
2022-05-23,47.9
2022-05-30,51.2
2022-06-06,50.6
2022-06-13,45.4
2022-06-20,46.9
2022-06-27,47.2
2022-07-04,47.8
2022-07-11,47.9
2022-07-18,44.6
2022-07-25,45.8
2022-08-01,48.3
2022-08-08,44.0
2022-08-15,45.5
2022-08-22,46.8
2022-08-29,44.5
2022-09-05,50.1
2022-09-12,42.3
2022-09-19,39.9
2022-09-26,43.2
2022-10-03,49.5
2022-10-10,43.2
2022-10-17,44.8
2022-10-24,44.0
2022-10-31,47.8
2022-11-07,43.8
2022-11-14,44.4
2022-11-21,46.7
2022-11-28,43.9
2022-12-05,45.1
2022-12-12,41.4
2022-12-19,45.4
2022-12-26,44.5
2023-01-02,48.1
2023-01-09,43.4
2023-01-16,44.6
2023-01-23,42.1
2023-01-30,45.8
2023-02-06,42.9
2023-02-13,40.5
2023-02-20,38.6
2023-02-27,38.4
2023-03-06,40.6
2023-03-13,34.0
2023-03-20,33.5
2023-03-27,33.9
2023-04-03,40.4
2023-04-10,35.6
2023-04-17,35.6
2023-04-24,35.9
2023-05-01,39.0
2023-05-08,38.5
2023-05-15,37.4
2023-05-22,34.5
2023-05-29,38.5
2023-06-05,37.6
2023-06-12,37.5
2023-06-19,34.1
2023-06-26,35.6
2023-07-03,37.4
2023-07-10,39.6
2023-07-17,37.1
2023-07-24,38.0
2023-07-31,39.0
2023-08-07,39.2
2023-08-14,34.8
2023-08-21,34.9
2023-08-28,35.4
2023-09-04,39.6
2023-09-11,37.9
2023-09-18,34.7
2023-09-25,34.7
2023-10-02,42.2
2023-10-09,37.8
2023-10-16,37.1
2023-10-23,34.7
2023-10-30,37.1
2023-11-06,34.6
2023-11-13,30.0
2023-11-20,32.7
2023-11-27,33.5
2023-12-04,34.9
2023-12-11,30.2
2023-12-18,30.3
2023-12-25,28.1
2024-01-01,35.1
2024-01-08,31.1
2024-01-15,30.8
2024-01-22,32.1
2024-01-29,34.2
2024-02-05,33.3
2024-02-12,31.9
2024-02-19,32.1
2024-02-26,34.2
2024-03-04,29.9
2024-03-11,30.9
2024-03-18,30.6
2024-03-25,31.0
2024-04-01,33.9
2024-04-08,34.9
2024-04-15,33.4
2024-04-22,25.5
2024-04-29,34.0
2024-05-06,33.2
2024-05-13,41.8
2024-05-20,34.1
2024-05-27,41.0
2024-06-03,44.3
2024-06-10,47.1
2024-06-17,39.8
2024-06-24,36.5
2024-07-01,46.0
2024-07-08,40.2
