day,rep_rate
2022-01-17,61.7
2022-01-24,66.6
2022-01-31,63.2
2022-02-07,61.2
2022-02-14,55.3
2022-02-21,52.1
2022-02-28,51.8
2022-03-07,50.9
2022-03-14,45.1
2022-03-21,43.0
2022-03-28,48.1
2022-04-04,51.4
2022-04-11,50.2
2022-04-18,49.8
2022-04-25,50.6
2022-05-02,55.8
2022-05-09,54.6
2022-05-16,50.6
2022-05-23,47.7
2022-05-30,51.3
2022-06-06,50.6
2022-06-13,45.4
2022-06-20,46.9
2022-06-27,47.2
2022-07-04,48.0
2022-07-11,47.6
2022-07-18,44.5
2022-07-25,45.8
2022-08-01,48.4
2022-08-08,44.0
2022-08-15,45.5
2022-08-22,46.8
2022-08-29,44.6
2022-09-05,50.1
2022-09-12,42.3
2022-09-19,39.9
2022-09-26,43.1
2022-10-03,49.3
2022-10-10,43.2
2022-10-17,44.8
2022-10-24,44.0
2022-10-31,47.9
2022-11-07,43.7
2022-11-14,44.4
2022-11-21,46.6
2022-11-28,43.9
2022-12-05,45.1
2022-12-12,41.3
2022-12-19,45.5
2022-12-26,44.5
2023-01-02,48.0
2023-01-09,43.4
2023-01-16,44.8
2023-01-23,42.2
2023-01-30,45.8
2023-02-06,42.7
2023-02-13,40.4
2023-02-20,38.6
2023-02-27,38.3
2023-03-06,40.7
2023-03-13,34.1
2023-03-20,33.3
2023-03-27,33.9
2023-04-03,40.3
2023-04-10,35.4
2023-04-17,35.8
2023-04-24,35.6
2023-05-01,38.9
2023-05-08,38.7
2023-05-15,37.4
2023-05-22,34.4
2023-05-29,38.1
2023-06-05,37.6
2023-06-12,37.2
2023-06-19,34.1
2023-06-26,35.3
2023-07-03,37.4
2023-07-10,39.6
2023-07-17,37.0
2023-07-24,38.2
2023-07-31,38.8
2023-08-07,39.2
2023-08-14,34.8
2023-08-21,34.8
2023-08-28,35.4
2023-09-04,39.2
2023-09-11,37.9
2023-09-18,34.7
2023-09-25,34.5
2023-10-02,41.9
2023-10-09,37.0
2023-10-16,37.0
2023-10-23,34.3
2023-10-30,36.5
2023-11-06,34.2
2023-11-13,29.5
2023-11-20,31.9
2023-11-27,32.8
2023-12-04,34.6
2023-12-11,29.2
2023-12-18,29.8
2023-12-25,26.8
2024-01-01,34.0
2024-01-08,30.0
2024-01-15,29.5
2024-01-22,30.7
2024-01-29,32.8
2024-02-05,32.3
2024-02-12,30.2
2024-02-19,30.2
2024-02-26,33.8
2024-03-04,29.1
2024-03-11,31.9
2024-03-18,30.5
2024-03-25,29.6
2024-04-01,34.5
2024-04-08,37.1
2024-04-15,31.9
2024-04-22,26.9
2024-04-29,42.3
2024-05-06,37.9
2024-05-13,42.1
2024-05-20,34.4
2024-05-27,50.4
2024-06-03,43.6
2024-06-10,50.7
